CUSTOMER ID,FIRST NAME,LAST NAME,ADDRESS,ZIP CODE,PHONE NUMBER,EMAIL ADDRESS,CITY ID,LOYALTY DISCOUNT
100000001,Simon,Walsh,897 Long Airport Avenue,81544,5354433774,Simon.Walsh@gmail.com,202978036,0.1
100000003,Liam,Brown,59 rue de l'Abbaye,84102,5573581085,Liam.Brown@gmail.com,202978037,0.09
100000005,Deirdre,Pullman,27 rue du Colonel Pierre Avia,84137,4702806584,Deirdre.Pullman@gmail.com,202978038,0.1
100000007,Dorothy,Thomson,78934 Hillside Dr.,77005,5260666076,Dorothy.Thomson@gmail.com,202978039,0.07
100000010,Dominic,Parr,7734 Strong St.,79814,4826560376,Dominic.Parr@gmail.com,202978040,0
100000011,Dominic,Lewis,9408 Furth Circle,79626,5344483355,Dominic.Lewis@gmail.com,202978041,0.02
100000012,Benjamin,Grant,"184, chausse de Tournai",84184,5670451363,Benjamin.Grant@gmail.com,202978042,0
100000013,Ryan,MacDonald,"Drammen 121, PR 744 Sentrum",78762,5066438255,Ryan.MacDonald@gmail.com,202978043,0.08
100000016,Nicholas,Newman,5557 North Pendale Street,77123,4798239617,Nicholas.Newman@gmail.com,202978044,0.01
100000019,William,Ince,"25, rue Lauriston",77429,5189195896,William.Ince@gmail.com,202978045,0.09
100000020,Audrey,Jones,636 St Kilda Road,80375,5404443369,Audrey.Jones@gmail.com,202978046,0.09
100000025,Jennifer,Hughes,2678 Kingston Rd.,78312,5486558750,Jennifer.Hughes@gmail.com,202978047,0.1
100000028,Alison,Fisher,7476 Moss Rd.,79407,5305425164,Alison.Fisher@gmail.com,202978048,0.02
100000030,Luke,Wilkins,25593 South Bay Ln.,76722,5332205357,Luke.Wilkins@gmail.com,202978049,0.09
100000031,Megan,Bell,"67, rue des Cinquante Otages",78771,5151190457,Megan.Bell@gmail.com,202978039,0.03
100000034,Jake,Wilson,39323 Spinnaker Dr.,82118,5347041638,Jake.Wilson@gmail.com,202978050,0
100000035,Karen,Dyer,Keskuskatu 45,79689,5246986352,Karen.Dyer@gmail.com,202978051,0.02
100000036,Yvonne,Thomson,Erling Skakkes gate 78,81515,5153696049,Yvonne.Thomson@gmail.com,202978043,0.01
100000037,Sophie,Gill,7586 Pompton St.,78925,4827875903,Sophie.Gill@gmail.com,202978052,0
100000038,Robert,Cornish,Geislweg 14,80474,4922433433,Robert.Cornish@gmail.com,202978053,0.05
100000041,Edward,Terry,"Monitor Money Building, 815 Pacific Hwy",80618,5006474227,Edward.Terry@gmail.com,202978054,0.05
100000041,Edward,Terry,"Monitor Money Building, 815 Pacific Hwy",80618,5006474227,Edward.Terry@gmail.com,202978055,0.05
100000042,Diane,Black,1785 First Street,78204,5544241833,Diane.Black@gmail.com,202978056,0.06
100000045,Dorothy,Johnston,Berkeley Gardens 12  Brewery,75277,5101758913,Dorothy.Johnston@gmail.com,202978038,0.1
100000049,Simon,Ball,"C/ Moralzarzal, 86",84164,5694535621,Simon.Ball@gmail.com,202978052,0.02
100000050,Charles,Nolan,Berguvsv„gen  8,79956,5086522788,Charles.Nolan@gmail.com,202978038,0.03
100000051,Sophie,Wilkins,"C/ Araquil, 67",83993,5184166569,Sophie.Wilkins@gmail.com,202978057,0.04
100000052,Kimberly,James,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",82889,5436198254,Kimberly.James@gmail.com,202978038,0.02
100000053,Madeleine,Ellison,5905 Pompton St.,82663,4752254391,Madeleine.Ellison@gmail.com,202978047,0.09
100000054,Irene,MacLeod,31 Duncan St. West End,79550,5034133423,Irene.MacLeod@gmail.com,202978058,0.07
100000055,Cameron,Taylor,782 First Street,77251,4821997396,Cameron.Taylor@gmail.com,202978059,0.08
100000056,Liam,Gibson,"2, rue du Commerce",79008,5262713300,Liam.Gibson@gmail.com,202978060,0.07
100000057,Donna,Knox,1900 Oak St.,77440,5363364270,Donna.Knox@gmail.com,202978051,0
100000058,Piers,Morgan,3675 Furth Circle,83782,5294139852,Piers.Morgan@gmail.com,202978046,0.09
100000059,Phil,Randall,4658 Baden Av.,83614,5211313577,Phil.Randall@gmail.com,202978061,0.06
100000060,Ryan,White,567 North Pendale Street,82694,5258416594,Ryan.White@gmail.com,202978045,0.01
100000061,Kylie,Howard,2-2-8 Roppongi,83783,5361316664,Kylie.Howard@gmail.com,202978062,0.1
100000062,Fiona,Bell,Via Monte Bianco 34,77490,5072050504,Fiona.Bell@gmail.com,202978040,0.03
100000063,Kevin,Gibson,?kergatan 24,75674,5437850499,Kevin.Gibson@gmail.com,202978063,0.07
100000064,Bernadette,Gibson,"67, avenue de l'Europe",78266,4901644899,Bernadette.Gibson@gmail.com,202978064,0.05
100000077,Frank,Brown,5677 Strong St.,76224,4984980555,Frank.Brown@gmail.com,202978041,0.08
100000078,Diane,Simpson,2304 Long Airport Avenue,78492,5073194122,Diane.Simpson@gmail.com,202978060,0.03
100000080,David,Peters,7825 Douglas Av.,84702,5125970204,David.Peters@gmail.com,202978036,0.06
100000081,Joan,Buckland,201 Miller Street,79443,5640405206,Joan.Buckland@gmail.com,202978065,0.02
100000082,Neil,Robertson,43 rue St. Laurent,77685,4910482572,Neil.Robertson@gmail.com,202978042,0.05
100000083,Paul,Mackay,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",77293,5217932682,Paul.Mackay@gmail.com,202978066,0
100000084,Dylan,Fraser,11328 Douglas Av.,81356,4840512759,Dylan.Fraser@gmail.com,202978064,0.07
100000085,Pippa,Buckland,"54, rue Royale",79891,4856769299,Pippa.Buckland@gmail.com,202978067,0.04
100000086,Matt,McGrath,3758 North Pendale Street,81513,4755006632,Matt.McGrath@gmail.com,202978068,0.08
100000087,Jack,White,Vinb'ltet 34,81585,5342127188,Jack.White@gmail.com,202978055,0.06
